transaction_day,total_amount_withdrawn
2-07-28,95000
2-07-29,86900
2-07-30,89400
2-07-31,179800
2-08-01,269000
2-08-02,142300
2-08-03,220900
2-08-04,268700
2-08-05,112800
2-08-06,142700
2-08-07,176800
2-08-08,163800
2-08-09,170700
2-08-10,119100
2-08-11,30300
2-08-12,67500
2-08-13,105600
2-08-14,150500
2-08-15,200700
2-08-16,178900
2-08-17,80400
2-08-19,137000
2-08-20,157900
2-08-21,8200
2-08-22,164400
2-08-23,136900
2-08-24,201100
2-08-25,210600
2-08-26,152000
2-08-27,134100
2-08-28,105700
2-08-29,154000
2-08-30,137900
2-08-31,146900
2-09-01,216400
2-09-02,365100
2-09-03,187100
2-09-04,245200
2-09-05,274900
2-09-06,193400
2-09-07,368700
2-09-08,315100
2-09-09,303100
2-09-10,182900
2-09-11,202800
2-09-12,419700
2-09-13,344100
2-09-14,322400
2-09-15,217400
2-09-16,373100
2-09-17,343000
2-09-18,321000
2-09-19,219700
2-09-20,237300
2-09-21,216300
2-09-22,130200
2-09-23,179500
2-09-24,148000
2-09-25,256500
2-09-26,296200
2-09-27,255000
2-09-28,185700
2-09-29,167500
2-09-30,219800
2-10-01,430900
2-10-02,347000
2-10-03,339700
2-10-04,229300
2-10-05,267700
2-10-06,324600
2-10-07,230400
2-10-08,221800
2-10-09,281500
2-10-10,361100
2-10-11,361400
2-10-12,262600
2-10-13,270700
2-10-14,207800
2-10-15,293400
2-10-16,310400
2-10-17,252100
2-10-18,244700
2-10-19,174200
2-10-20,264400
2-10-21,341100
2-10-22,174100
2-10-23,278600
2-10-24,221600
2-10-25,226400
2-10-26,297100
2-10-27,148600
2-10-28,185600
2-10-29,157300
2-10-30,150400
2-10-31,231300
2-11-01,353300
2-11-02,330100
2-11-03,318300
2-11-04,242300
2-11-05,394100
2-11-06,300200
2-11-07,392100
2-11-08,302800
2-11-09,318100
2-11-10,491800
2-11-11,466800
2-11-12,451200
2-11-13,374200
2-11-14,185500
2-11-15,246100
2-11-16,346900
2-11-17,232400
2-11-19,332800
2-11-20,277800
2-11-21,286200
2-11-22,234400
2-11-23,261500
2-11-24,252200
2-11-25,212700
2-11-26,290600
2-11-27,272400
2-11-28,153100
2-11-29,288100
2-11-30,340700
2-12-01,433100
2-12-02,432600
2-12-03,398200
2-12-04,446000
2-12-05,383800
2-12-06,268300
2-12-07,369100
2-12-08,362300
2-12-09,327800
2-12-10,300700
2-12-11,325300
2-12-12,366200
2-12-13,338800
2-12-14,308600
2-12-15,406200
2-12-16,349100
2-12-17,291300
2-12-18,241900
2-12-19,226200
2-12-20,287200
2-12-21,304600
2-12-22,436000
2-12-23,220700
2-12-24,363900
2-12-25,235400
2-12-26,210800
2-12-27,343200
2-12-28,468700
2-12-29,264300
2-12-30,376000
2-12-31,364300
3-01-01,429200
3-01-02,401000
3-01-03,314800
3-01-04,356900
3-01-05,148800
3-01-06,307200
3-01-07,273500
3-01-08,242600
3-01-09,215300
3-01-10,336000
3-01-11,341600
3-01-12,329300
3-01-13,289800
3-01-14,268900
3-01-15,261100
3-01-16,378500
3-01-17,324400
3-01-18,254400
3-01-19,248100
3-01-20,222900
3-01-21,393900
3-01-22,310100
3-01-23,329200
3-01-24,350400
3-01-25,228200
3-01-26,128800
3-01-27,197100
3-01-28,494200
3-01-29,378100
3-01-30,211500
3-01-31,297000
3-02-01,469500
3-02-02,289000
3-02-03,338700
3-02-04,231400
3-02-05,367000
3-02-06,235900
3-02-07,597700
3-02-08,234200
3-02-09,139000
3-02-10,407900
3-02-11,292200
3-02-12,459000
3-02-13,282300
3-02-14,282700
3-02-15,297300
3-02-16,234100
3-02-17,381000
3-02-18,293600
3-02-19,241100
3-02-20,380200
3-02-21,192900
3-02-22,194300
3-02-23,175300
3-02-24,243100
3-02-25,391600
3-02-26,304200
3-02-27,338000
3-02-28,457200
3-03-01,245300
3-03-02,122300
3-03-03,201000
3-03-04,319700
3-03-05,253100
3-03-06,286800
3-03-07,308500
3-03-08,275000
3-03-09,379300
3-03-10,304000
3-03-11,263700
3-03-12,426200
3-03-13,286400
3-03-14,337800
3-03-15,453000
3-03-16,331100
3-03-17,305200
3-03-18,313500
3-03-19,207400
3-03-20,444200
3-03-21,272700
3-03-22,257000
3-03-23,219300
3-03-24,269600
3-03-25,295700
3-03-26,254200
3-03-27,91200
3-03-28,360000
3-03-29,361100
3-03-30,388500
3-03-31,379800
3-04-01,377700
3-04-02,404600
3-04-03,297700
3-04-04,297500
3-04-05,400200
3-04-06,222900
3-04-07,370000
3-04-08,295600
3-04-09,274600
3-04-10,458200
3-04-11,403300
3-04-12,319500
3-04-13,263200
3-04-14,233300
3-04-15,337000
3-04-16,443400
3-04-17,228400
3-04-18,148500
3-04-19,332900
3-04-20,389200
3-04-21,240800
3-04-22,211900
