transaction_day,total_amount_withdrawn
4-05-08,561900
4-05-09,563300
4-05-10,599700
4-05-11,407400
4-05-12,494400
4-05-13,550500
4-05-14,578900
4-05-15,422400
4-05-16,521800
4-05-17,536700
4-05-18,354200
4-05-19,506100
4-05-20,677200
4-05-21,606700
4-05-22,694500
4-05-23,401700
4-05-24,645800
4-05-25,383200
4-05-26,543500
4-05-27,580700
4-05-28,317800
4-05-29,753900
4-05-30,545300
4-05-31,784400
4-06-01,404100
4-06-02,610400
4-06-03,661200
4-06-04,663900
4-06-05,773200
4-06-06,632300
4-06-07,778400
4-06-08,632900
4-06-09,393800
4-06-10,584900
4-06-11,710900
4-06-12,716800
4-06-13,329200
4-06-14,244500
4-06-15,406400
4-06-16,154700
4-06-17,617900
4-06-18,485000
4-06-19,504000
4-06-20,517300
4-06-21,421700
4-06-22,516200
4-06-23,499000
4-06-24,386800
4-06-25,626100
4-06-26,737900
4-06-27,738000
4-06-28,470500
4-06-29,224100
4-06-30,219500
4-07-01,357600
4-07-02,946800
4-07-03,940600
4-07-04,780000
4-07-05,894000
4-07-06,686600
4-07-07,455200
4-07-08,607300
4-07-09,791000
4-07-10,706600
4-07-11,885600
4-07-12,750500
4-07-13,312300
4-07-14,948200
4-07-15,537400
4-07-16,469800
4-07-17,625000
4-07-18,460200
4-07-19,568300
4-07-20,502300
4-07-21,133500
4-07-22,602600
4-07-23,690500
4-07-24,249900
4-07-25,680000
4-07-26,544600
4-07-27,501700
4-07-28,457600
4-07-29,393400
4-07-30,620100
4-07-31,213000
4-08-01,742300
4-08-02,608900
4-08-03,418600
4-08-04,79100
4-08-05,647900
4-08-06,361000
4-08-07,579400
4-08-08,653300
4-08-09,432900
4-08-10,439100
4-08-11,745400
4-08-12,550900
4-08-13,485100
4-08-14,660500
4-08-15,367400
4-08-16,471900
4-08-17,241000
4-08-18,218600
4-08-19,658800
4-08-20,338000
4-08-21,367000
4-08-22,467100
4-08-23,515200
4-08-24,318400
4-08-25,508300
4-08-26,534800
4-08-27,374600
4-08-28,562400
4-08-29,300100
4-08-30,841100
4-08-31,473300
4-09-01,529500
4-09-02,723500
4-09-03,443000
4-09-04,653400
4-09-05,606300
4-09-06,624700
4-09-07,432800
4-09-08,763100
4-09-09,535500
4-09-10,677400
4-09-11,417500
4-09-12,582400
4-09-13,477500
4-09-14,259800
4-09-15,535900
4-09-16,543900
4-09-17,74500
4-09-18,112100
4-09-19,216200
4-09-20,500100
4-09-21,321000
4-09-22,519200
4-09-23,37700
4-09-24,424200
4-09-25,465200
4-09-26,439400
4-09-27,273500
4-09-28,188900
4-09-29,153700
4-09-30,501500
4-10-1,211700
4-10-4,304300
4-10-5,602700
4-10-6,322900
4-10-7,375000
4-10-8,813700
4-10-9,603100
4-10-10,668100
4-10-11,657700
4-10-12,500
4-10-13,264700
4-10-14,574300
4-10-15,457900
4-10-16,688100
4-10-17,299300
4-10-18,519500
4-10-19,358700
4-10-20,630100
4-10-21,629000
4-10-22,97400
4-10-23,330300
4-10-24,308900
4-10-25,444800
4-10-26,334900
4-10-27,427900
4-10-28,614900
4-10-29,436000
4-10-30,443400
4-10-31,433700
4-11-1,781400
4-11-2,469100
4-11-3,629700
4-11-4,534000
4-11-5,576800
4-11-6,487100
4-11-7,521100
4-11-8,691300
4-11-10,794800
4-11-11,724800
4-11-12,257500
4-11-13,402800
4-11-14,435800
4-11-15,477800
4-11-16,375000
4-11-17,491200
4-11-18,317700
4-11-19,316900
4-11-20,570100
4-11-21,432700
4-11-22,694100
4-11-23,332200
4-11-24,516700
4-11-25,499400
4-11-26,706900
4-11-27,577600
4-11-28,452400
4-11-29,608200
4-11-30,479100
4-12-1,194900
4-12-2,520500
4-12-4,158900
4-12-5,451300
4-12-6,682700
4-12-7,396800
4-12-8,278000
4-12-9,270300
4-12-10,368900
4-12-11,729700
4-12-12,515600
4-12-13,513000
4-12-14,565500
4-12-15,475100
4-12-16,557200
4-12-17,570300
4-12-18,436200
4-12-19,653500
4-12-20,797800
4-12-21,396400
4-12-22,467200
4-12-23,399000
4-12-24,663400
4-12-25,438700
4-12-26,430800
4-12-27,574100
4-12-28,271700
4-12-29,442300
4-12-30,512700
4-12-31,756900
5-01-01,398100
5-01-02,633400
5-01-03,1089600
5-01-04,529400
5-01-05,310700
5-01-06,466700
5-01-07,599200
5-01-08,568200
5-01-09,606000
5-01-10,956400
5-01-11,673300
5-01-12,329700
5-01-13,746600
5-01-14,589600
5-01-15,178400
5-01-16,208400
5-01-17,285200
5-01-18,274400
5-01-19,706600
5-01-20,381400
5-01-21,526000
5-01-22,514000
5-01-23,438800
5-01-24,592000
5-01-25,317100
5-01-26,290900
5-01-27,441000
5-01-28,571000
5-01-29,480100
5-01-30,490800
5-01-31,729500
5-02-01,638900
5-02-02,402200
5-02-03,671000
5-02-04,569700
5-02-05,495300
5-02-06,488200
5-02-07,1228000
5-02-08,514800
5-02-09,384300
5-02-10,480700
5-02-11,480500
5-02-12,656900
5-02-13,202400
5-02-14,645000
5-02-15,391200
5-02-16,436400
5-02-17,357700
5-02-18,511500
5-02-19,612000
5-02-20,431700
5-02-21,620400
5-02-22,328800
5-02-23,416900
5-02-24,496900
5-02-25,433700
5-02-26,469100
5-02-27,630500
5-02-28,736200
5-03-01,174400
5-03-02,617300
5-03-03,678000
5-03-04,883700
5-03-05,416600
5-03-06,554100
5-03-07,646600
5-03-08,551100
5-03-09,311900
5-03-10,761500
5-03-11,836800
5-03-12,505000
5-03-13,480200
5-03-14,488400
5-03-15,506300
5-03-16,848700
5-03-17,421800
5-03-18,666200
5-03-19,511100
5-03-20,456000
5-03-21,633400
5-03-22,376700
5-03-23,498900
5-03-24,588400
5-03-25,888000
5-03-26,532800
5-03-27,358100
5-03-28,421400
5-03-29,385000
5-03-30,528200
5-03-31,928900
5-04-01,839400
5-04-02,802700
5-04-03,28900
5-04-04,289700
5-04-05,606900
5-04-06,1073200
5-04-07,670300
5-04-08,821300
5-04-09,576000
5-04-10,603300
5-04-11,626700
5-04-12,372300
5-04-13,622000
5-04-14,381600
5-04-15,496400
5-04-16,613200
5-04-17,573200
5-04-18,768800
5-04-19,403400
5-04-20,624800
5-04-21,440600
