transaction_day,total_amount_withdrawn
05-07,376700
05-08,298800
05-09,145900
05-10,369500
05-11,203300
05-12,269600
05-13,404800
05-14,398400
05-15,208600
05-16,381900
05-17,314500
05-18,402100
05-19,317200
05-20,359700
05-21,415100
05-22,277200
05-23,205200
05-24,480300
05-25,418700
05-26,421500
05-27,492600
05-28,321100
05-29,561100
05-30,341900
05-31,340000
06-01,395500
06-02,639000
06-03,364400
06-04,334900
06-05,519100
06-06,442000
06-07,566200
06-08,302600
06-09,482500
06-10,544900
06-11,452800
06-12,374100
06-13,337400
06-14,353900
06-15,441700
06-16,284100
06-17,331000
06-18,250800
06-19,351900
06-20,330000
06-21,191000
06-22,263400
06-23,270000
06-24,293300
06-25,344400
06-26,259800
06-27,297700
06-28,382600
06-29,317400
06-30,344000
07-01,699500
07-02,229700
07-03,255000
07-04,425200
07-05,229300
07-06,268100
07-07,378700
07-08,292100
07-09,327100
07-10,364800
07-11,266800
07-12,333700
07-13,448200
07-14,337300
07-15,244800
07-16,401600
07-17,360600
07-18,351700
07-19,380500
07-20,326600
07-21,300400
07-22,326200
07-23,350400
07-24,386600
07-25,404600
07-26,316900
07-27,204100
07-28,332000
07-29,164900
07-30,288000
07-31,424100
08-01,528200
08-02,551300
08-03,99600
08-04,639200
08-05,594800
08-06,525100
08-07,443700
08-08,540500
08-09,266000
08-11,137000
08-12,281000
08-13,92200
08-14,399500
08-15,308200
08-16,369700
08-17,390400
08-18,189600
08-19,328100
08-20,352000
08-21,292200
08-22,398800
08-23,335100
08-24,314300
08-25,246400
08-26,224100
08-27,369100
08-28,555400
08-29,201000
08-30,272600
08-31,289700
09-01,557000
09-02,390700
09-03,415600
09-04,493500
09-05,437300
09-06,360100
09-07,334800
09-08,362800
09-09,481500
09-10,438400
09-11,439900
09-12,490600
09-13,505500
09-14,452400
09-15,336000
09-16,323100
09-17,381300
09-18,348600
09-19,336300
09-20,288100
09-21,396000
09-22,146000
09-23,514800
09-24,367800
09-25,275500
09-26,408800
09-27,409000
09-28,212400
09-29,125200
09-30,467000
10-01,671600
10-02,134200
10-03,200
10-04,190500
10-05,220800
10-07,291600
10-08,564600
10-09,501200
10-10,447900
10-11,288600
10-12,533200
10-13,314800
10-14,456400
10-15,259900
10-16,520500
10-17,494200
10-18,407300
10-19,529100
10-20,405300
10-21,507000
10-22,529000
10-23,367200
10-24,295100
10-25,283200
10-26,408100
10-27,454500
10-28,262200
10-29,277500
10-30,337800
10-31,527700
11-01,506900
11-02,660500
11-03,469700
11-04,1600
11-05,170400
11-06,319500
11-07,384400
11-08,442400
11-09,533300
11-10,395600
11-11,340200
11-12,275700
11-13,443700
11-14,340800
11-15,529500
11-16,368600
11-17,316800
11-18,367900
11-19,366200
11-20,310100
11-21,271300
11-22,356600
11-23,390100
11-24,332000
11-25,412300
11-26,293800
11-27,380300
11-28,671600
11-29,260500
11-30,392300
12-01,308400
12-02,495000
12-03,512800
12-04,137000
12-05,352800
12-06,370300
12-07,313900
12-08,407400
12-09,429100
12-10,515800
12-11,481200
12-12,646400
12-13,355100
12-14,346000
12-15,427400
12-16,254700
12-17,332200
12-18,424800
12-19,423400
12-20,380800
12-21,409800
12-22,177600
12-23,340100
12-24,433500
12-25,351100
12-26,239800
12-27,396900
12-28,315000
12-29,367500
12-30,531100
12-31,679200
01-01,539200
01-02,441400
01-03,507000
01-04,291600
01-05,204600
01-06,468200
01-07,344300
01-08,422800
01-09,362400
01-10,394400
01-11,469700
01-12,416000
01-13,365500
01-14,287400
01-15,313100
01-16,228000
01-17,331600
01-18,349800
01-19,26600
01-20,328100
01-21,319700
01-22,366500
01-23,151300
01-24,315600
01-25,266400
01-26,284700
01-27,340300
01-28,378400
01-29,344600
01-30,415100
01-31,556800
02-01,394100
02-02,515400
02-03,504100
02-04,462100
02-05,455400
02-06,274900
02-07,350300
02-08,430100
02-09,357800
02-10,388300
02-11,346000
02-12,467600
02-13,424300
02-14,333100
02-15,227500
02-16,405100
02-17,359100
02-18,201000
02-19,392400
02-20,256400
02-21,329700
02-22,261900
02-23,346200
02-24,323800
02-25,424400
02-26,361500
02-27,403500
02-28,537500
03-01,519200
03-02,482500
03-03,665600
03-04,485400
03-05,384600
03-06,227000
03-07,375200
03-08,37300
03-11,6300
03-12,509000
03-13,409800
03-14,382900
03-15,344900
03-16,519400
03-17,365900
03-18,335800
03-19,413000
03-20,338100
03-21,428000
03-22,328100
03-23,343700
03-24,457700
03-25,378400
03-26,404100
03-27,352900
03-28,64700
03-29,246100
03-30,424800
03-31,511600
04-01,549300
04-02,413300
04-04,246100
04-05,284500
04-06,350100
04-07,346000
04-08,451500
04-09,441400
04-10,298400
04-11,392500
04-12,337700
04-13,472800
04-14,362800
04-15,382500
04-16,395000
04-17,259100
04-18,296100
04-19,259900
04-20,377000
04-21,598000
04-22,490800
04-23,382000
04-24,471700
04-25,457000
04-26,123200
04-27,299800
04-28,303300
04-29,495000
04-30,465900
05-01,422700
05-02,530700
05-03,433900
05-04,392800
05-05,297500
05-06,398900
05-07,486200
05-08,420300
05-09,490000
05-10,528900
05-11,480200
05-12,413500
05-13,411400
05-14,230900
05-15,338200
05-16,284000
05-17,174300
05-18,129000
05-19,49400
05-20,267500
05-21,345000
05-22,269700
05-23,359700
05-24,324100
05-25,327800
05-26,255800
05-27,417600
05-28,302100
05-29,316500
05-30,289000
05-31,152100
06-02,237900
06-03,414500
06-04,404400
06-05,333300
06-06,414900
06-07,421200
06-08,420500
06-09,518200
06-10,497100
06-11,423300
06-12,404900
06-13,410200
06-14,376300
06-15,395700
06-16,321300
06-17,314500
06-18,173000
06-20,359100
06-21,335500
06-22,445900
06-23,361800
06-24,404800
06-25,456800
06-26,261000
06-27,395700
06-28,399900
06-29,416400
06-30,414700
07-01,745100
07-02,329500
07-03,416300
07-04,531700
07-05,432600
07-06,246500
07-07,293600
07-08,491700
07-09,465800
07-10,423800
07-11,432600
07-12,506600
07-13,363900
07-14,310900
07-15,364000
07-16,470700
07-17,336300
07-18,227300
07-19,328800
07-20,372500
07-21,212400
07-22,331500
07-23,540000
07-24,339100
07-25,292700
07-26,449700
07-27,400600
07-28,321400
07-29,212900
07-30,392200
07-31,569900
08-01,703600
08-02,491800
08-03,348800
08-04,527000
08-05,482800
08-06,422500
08-07,453600
08-08,581200
08-09,609400
08-10,412100
08-11,542800
08-12,479300
08-13,311100
08-14,384200
08-15,424700
08-16,433500
08-17,476500
08-18,469200
08-19,492900
08-20,522700
08-21,330900
08-22,377000
08-23,301100
08-24,280700
08-25,349200
08-26,271600
08-27,357800
08-28,436400
08-29,658300
08-30,330800
08-31,383700
09-01,543800
09-02,568500
09-03,550200
09-04,453600
09-05,395000
09-06,374900
09-07,498000
09-08,394300
09-09,433700
09-10,580200
09-11,551700
09-12,480300
09-13,451300
09-14,439800
09-15,388800
09-16,603100
09-17,393100
09-18,405600
09-19,478800
09-20,508300
09-21,448700
09-22,372200
09-23,361500
09-24,479800
09-25,324000
09-26,304900
09-27,324900
09-28,322700
09-29,572900
09-30,550500
10-01,681300
10-02,360600
10-03,376800
10-04,390900
10-05,539400
10-06,467700
10-07,377400
10-08,521300
10-09,374600
10-10,676200
10-11,372500
10-12,515500
10-13,302800
10-14,443200
10-15,556500
10-16,325200
10-17,476700
10-18,448700
10-19,411900
10-20,480400
10-21,375400
10-22,286900
10-23,231600
10-24,376700
10-25,399000
10-26,468700
10-27,347800
10-28,561300
10-29,546400
10-30,448600
10-31,889100
11-01,550200
11-02,692500
11-03,503500
11-04,617100
11-05,529000
11-06,784700
11-07,462100
11-08,603400
11-09,552900
11-10,876700
11-11,423900
11-12,364600
11-13,183200
11-14,553300
11-15,492700
11-16,475900
11-17,666300
11-18,365500
11-19,365400
11-20,578600
11-21,452800
11-22,350500
11-23,312000
11-24,447700
11-25,442400
11-26,569600
11-27,515400
11-28,352900
11-29,382300
11-30,611100
12-01,711900
12-02,618400
12-03,562200
12-04,498200
12-05,462100
12-06,493500
12-07,514800
12-08,570700
12-09,414700
12-10,517500
12-11,569700
12-12,491500
12-13,598000
12-14,550600
12-15,376100
12-16,539200
12-17,413700
12-18,284100
12-19,443800
12-20,406400
12-21,522800
12-22,494900
12-23,578900
12-24,497100
12-25,234300
12-26,232700
12-27,375700
12-28,418400
12-29,494000
12-30,489500
12-31,497700
