transaction_day,total_amount_withdrawn
11-10,965400
11-11,558600
11-12,501600
11-13,140700
11-14,514100
11-15,502700
11-16,391400
11-17,420800
11-18,436300
11-19,520000
11-20,334600
11-21,352800
11-22,553600
11-23,381300
11-24,432800
11-25,359600
11-26,315500
11-27,259000
11-28,420300
11-29,258500
11-30,475400
12-01,530900
12-02,492900
12-03,598000
12-04,421900
12-05,548300
12-06,627700
12-07,733400
12-08,778900
12-09,453100
12-10,499800
12-11,507000
12-12,650900
12-13,254000
12-14,451600
12-15,568200
12-16,430300
12-17,526100
12-18,503400
12-19,548000
12-20,411700
12-21,444800
12-22,479700
12-23,276500
12-24,472300
12-25,246000
12-26,344100
12-27,362900
12-28,177600
12-29,146400
12-30,442800
12-31,821300
01-01,315400
01-02,670700
01-03,480700
01-04,505600
01-05,1034000
01-06,375500
01-07,863100
01-08,609300
01-09,543800
01-10,709300
01-11,734400
01-12,696600
01-13,394600
01-14,174000
01-15,197000
01-16,298200
01-17,486700
01-18,348600
01-19,520000
01-20,395800
01-21,583500
01-22,512000
01-23,332800
01-24,648700
01-25,365300
01-26,396000
01-27,246900
01-28,672700
01-29,504800
01-30,371500
01-31,573900
02-01,606700
02-02,688700
02-03,519400
02-04,763600
02-05,558000
02-06,860200
02-07,915100
02-08,557200
02-09,820700
02-10,246700
02-11,702800
02-12,526200
02-13,638600
02-14,644600
02-15,651000
02-16,551100
02-17,484200
02-18,484500
02-19,551000
02-20,458200
02-21,521800
02-22,402100
02-23,599100
02-24,358200
02-25,572500
02-26,295000
02-27,480100
02-28,833600
03-01,471000
03-02,803600
03-03,525000
03-04,608400
03-05,470100
03-06,705600
03-07,568700
03-08,629500
03-09,943900
03-10,524800
03-11,434200
03-12,671100
03-13,767800
03-14,593200
03-15,447600
03-16,555700
03-17,499200
03-18,589700
03-19,516700
03-20,639700
03-21,392800
03-22,347200
03-23,501800
03-24,197800
03-25,475300
03-26,249900
03-27,319400
03-28,672400
03-29,519400
03-30,444000
03-31,456000
04-01,269200
04-02,755300
04-03,577300
04-04,655000
04-05,542800
04-06,757600
04-07,631600
04-08,537300
04-09,652300
04-10,957500
04-11,599500
04-12,370000
04-13,505000
04-14,333200
04-15,347000
04-16,461100
04-17,536600
04-18,341800
04-19,603300
04-20,590800
04-21,548200
04-22,548000
04-23,560200
04-24,688900
04-25,454500
04-26,344300
04-27,657800
04-28,119100
04-29,213200
04-30,644500
05-01,458000
05-02,555400
05-03,491900
05-04,771000
05-05,406500
05-06,429100
05-07,365300
05-08,460600
05-09,453500
05-10,590000
05-11,351000
05-12,447100
05-13,645700
05-14,349200
05-15,553300
05-16,494100
05-17,307100
05-18,509400
05-19,278600
05-20,410200
05-21,660200
05-22,709300
05-23,421300
05-24,445100
05-25,659400
05-26,272300
05-27,482700
05-28,497600
05-29,638100
05-30,399500
05-31,406700
06-01,905800
06-02,738900
06-03,664900
06-04,560300
06-05,765500
06-06,727100
06-07,453200
06-08,893000
06-09,532900
06-10,572000
06-11,596400
06-12,557900
06-13,566500
06-14,551000
06-15,799400
06-16,155800
06-17,413300
06-18,444700
06-19,610600
06-20,520500
06-21,450900
06-22,721800
06-23,388600
06-24,462000
06-25,145100
06-26,574000
06-27,410600
06-28,647300
06-29,763400
06-30,827200
07-01,682600
07-02,404000
07-03,800000
07-04,666200
07-05,704400
07-06,517800
07-07,593500
07-08,624700
07-09,501600
07-10,785000
07-11,648100
07-12,413700
07-13,1027600
07-14,228700
07-15,511300
07-16,656700
07-17,815300
07-18,254700
07-19,359000
07-20,775800
07-21,365300
07-22,663500
07-23,516700
07-24,292900
07-25,528400
07-26,512500
07-27,577000
07-28,446000
07-29,383000
07-30,459400
07-31,622600
08-01,824000
08-02,1037400
08-03,1125300
08-04,565000
08-05,816800
08-06,617900
08-07,820800
08-08,755200
08-09,520900
08-10,536100
08-11,192300
08-12,766100
08-13,726800
08-14,461300
08-15,444200
08-16,522000
08-17,577400
08-18,459100
08-19,552100
08-20,645600
08-21,593400
08-22,512300
08-23,440800
08-24,391900
08-25,710200
08-26,752700
08-27,560300
08-28,454900
08-29,588400
08-30,395400
08-31,1024000
09-01,829800
09-02,735500
09-03,747200
09-04,374000
09-05,656600
09-06,633100
09-07,619800
09-08,326400
09-09,1000
09-10,368100
09-11,529100
09-12,747100
09-13,508100
09-14,658800
09-15,439700
09-16,459300
09-17,468300
09-18,623700
09-19,558300
09-20,343900
09-21,538800
09-22,147000
09-23,426800
09-24,504200
09-25,384000
09-26,515000
09-27,345700
09-28,796200
09-29,489000
09-30,742600
10-01,666700
10-02,606100
10-03,813200
10-04,723100
10-05,954500
10-06,351300
10-07,707700
10-08,815800
10-09,582100
10-10,801900
10-11,618900
10-12,725400
10-13,354100
10-14,602100
10-15,716100
10-16,468800
10-17,693900
10-18,324700
10-19,340100
10-20,412400
10-21,415400
10-22,593900
10-23,526200
10-24,592200
10-25,587200
10-26,634500
10-27,313200
10-28,646500
10-29,737100
10-30,863000
10-31,761000
11-01,528900
11-02,297400
11-03,562800
11-04,870400
11-05,894500
11-06,953900
11-07,693400
11-08,562800
11-09,907800
11-10,509100
11-11,612800
11-12,558700
11-13,512600
11-14,553100
11-15,209200
11-16,214000
11-17,263200
11-18,592300
11-19,526200
11-20,564400
11-21,719000
11-22,489300
11-23,584000
11-24,252300
11-25,499900
11-26,391500
11-27,334300
11-28,518600
11-29,565800
11-30,326300
12-01,648300
12-02,658000
12-03,826700
12-04,614500
12-05,794600
12-06,234500
12-07,570800
12-08,401800
12-09,762500
12-10,440800
12-11,593000
12-12,352200
12-23,325000
12-24,106100
12-25,21200
12-28,156300
12-29,445400
12-30,465200
12-31,721900
01-01,349500
01-02,221600
01-03,552600
01-04,291700
01-05,510200
01-06,233400
01-07,605400
01-08,556800
01-09,588300
01-10,717300
01-11,784300
01-12,553100
01-13,498300
01-14,231000
01-15,313100
01-16,217900
01-17,514700
01-18,570700
01-19,530300
01-20,793400
01-21,244500
01-22,615800
01-23,547200
01-24,380500
01-25,386900
01-26,435900
01-27,524800
01-28,494900
01-29,372900
01-30,715300
01-31,643500
02-01,654500
02-02,419200
02-03,666500
02-04,742200
02-05,437800
02-06,621500
02-07,483300
02-08,607300
02-09,430300
02-10,576200
02-11,423900
02-12,313300
02-13,14700
02-14,420800
02-15,793000
02-16,506900
02-17,451400
02-18,570700
02-19,359400
02-20,449200
02-21,335400
02-22,320300
02-23,353200
02-24,508200
02-25,449300
02-26,367100
02-27,342500
02-28,504700
03-01,341600
03-02,845300
03-03,355400
03-04,604200
03-05,619500
03-06,660400
03-07,379600
03-08,758300
03-09,314900
03-10,469300
03-11,551100
03-12,742100
03-13,504500
03-14,645700
03-15,473200
03-16,287000
03-17,525500
03-18,494800
03-19,576500
03-20,412900
03-21,577700
03-22,521600
03-23,448400
03-24,448800
03-25,448900
03-26,511400
03-27,759700
03-28,627400
03-29,936400
03-30,519600
03-31,746400
04-02,206200
04-03,141100
04-04,500
04-07,11800
04-12,268400
04-13,458000
04-14,176400
04-15,77000
04-16,20400
04-17,28100
04-18,239900
04-19,398200
04-20,587100
04-21,512100
04-22,606600
04-23,748700
04-24,453800
04-25,494100
04-26,846700
04-27,394000
04-28,313200
04-29,618200
04-30,772800
05-01,443600
05-02,455200
05-03,978600
05-04,494900
05-05,502400
05-06,595400
05-07,724200
05-08,561900
05-09,563300
05-10,599700
05-11,407400
05-12,494400
05-13,550500
05-14,578900
05-15,422400
05-16,521800
05-17,536700
05-18,354200
05-19,506100
05-20,677200
05-21,606700
05-22,694500
05-23,401700
05-24,645800
05-25,383200
05-26,543500
05-27,580700
05-28,317800
05-29,753900
05-30,545300
05-31,784400
06-01,404100
06-02,610400
06-03,661200
06-04,663900
06-05,773200
06-06,632300
06-07,778400
06-08,632900
06-09,393800
06-10,584900
06-11,710900
06-12,716800
06-13,329200
06-14,244500
06-15,406400
06-16,154700
06-17,617900
06-18,485000
06-19,504000
06-20,517300
06-21,421700
06-22,516200
06-23,499000
06-24,386800
06-25,626100
06-26,737900
06-27,738000
06-28,470500
06-29,224100
06-30,219500
07-01,357600
07-02,946800
07-03,940600
07-04,780000
07-05,894000
07-06,686600
07-07,455200
07-08,607300
07-09,791000
07-10,706600
07-11,885600
07-12,750500
07-13,312300
07-14,948200
07-15,537400
07-16,469800
07-17,625000
07-18,460200
07-19,568300
07-20,502300
07-21,133500
07-22,602600
07-23,690500
07-24,249900
07-25,680000
07-26,544600
07-27,501700
07-28,457600
07-29,393400
07-30,620100
07-31,213000
08-01,742300
08-02,608900
08-03,418600
08-04,79100
08-05,647900
08-06,361000
08-07,579400
08-08,653300
08-09,432900
08-10,439100
08-11,745400
08-12,550900
08-13,485100
08-14,660500
08-15,367400
08-16,471900
08-17,241000
08-18,218600
08-19,658800
08-20,338000
08-21,367000
08-22,467100
08-23,515200
08-24,318400
08-25,508300
08-26,534800
08-27,374600
08-28,562400
08-29,300100
08-30,841100
08-31,473300
09-01,529500
09-02,723500
09-03,443000
09-04,653400
09-05,606300
09-06,624700
09-07,432800
09-08,763100
09-09,535500
09-10,677400
09-11,417500
09-12,582400
09-13,477500
09-14,259800
09-15,535900
09-16,543900
09-17,74500
09-18,112100
09-19,216200
09-20,500100
09-21,321000
09-22,519200
09-23,37700
09-24,424200
09-25,465200
09-26,439400
09-27,273500
09-28,188900
09-29,153700
09-30,501500
10-01,211700
10-04,304300
10-05,602700
10-06,322900
10-07,375000
10-08,813700
10-09,603100
10-10,668100
10-11,657700
10-12,500
10-13,264700
10-14,574300
10-15,457900
10-16,688100
10-17,299300
10-18,519500
10-19,358700
10-20,630100
10-21,629000
10-22,97400
10-23,330300
10-24,308900
10-25,444800
10-26,334900
10-27,427900
10-28,614900
10-29,436000
10-30,443400
10-31,433700
11-01,781400
11-02,469100
11-03,629700
11-04,534000
11-05,576800
11-06,487100
11-07,521100
11-08,691300
11-10,794800
11-11,724800
11-12,257500
11-13,402800
11-14,435800
11-15,477800
11-16,375000
11-17,491200
11-18,317700
11-19,316900
11-20,570100
11-21,432700
11-22,694100
11-23,332200
11-24,516700
11-25,499400
11-26,706900
11-27,577600
11-28,452400
11-29,608200
11-30,479100
12-01,194900
12-02,520500
